Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/9/11 (Monday) 16:8:14,999,255,10,LED ON,255,0.0,3,3410,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/9/11 (Monday) 16:8:17,999,255,10,LED ON,255,0.0,6,6531,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,6,17,12,39,0
2023/9/11 (Monday) 16:8:20,999,255,10,LED ON,255,0.0,9,9647,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,4,17,8,39,0
2023/9/11 (Monday) 16:8:23,999,255,10,LED ON,255,0.0,12,12763,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,7,16,10,41,0
2023/9/11 (Monday) 16:8:26,999,255,10,LED ON,255,0.0,15,15880,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,5,18,11,41,0
2023/9/11 (Monday) 16:8:29,999,255,10,LED ON,255,0.0,19,19002,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,4,17,9,42,0
2023/9/11 (Monday) 16:8:32,999,255,10,LED ON,255,0.0,22,22121,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,6,16,11,38,0
2023/9/11 (Monday) 16:8:35,999,255,10,LED ON,255,0.0,25,25237,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,6,15,9,40,0
2023/9/11 (Monday) 16:8:39,999,255,10,LED ON,255,0.0,28,28359,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,2,16,11,40,0
2023/9/11 (Monday) 16:8:42,999,255,10,LED ON,255,0.0,31,31474,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,7,15,11,37,0
2023/9/11 (Monday) 16:8:45,999,255,10,LED ON,255,0.0,34,34586,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,6,14,11,41,0
2023/9/11 (Monday) 16:8:48,999,255,10,LED ON,255,0.0,37,37701,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,4,14,10,40,0
2023/9/11 (Monday) 16:8:51,999,255,10,LED ON,255,0.0,40,40815,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,8,17,10,43,0
