Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/9/11 (Monday) 15:7:16,999,255,10,LED ON,255,0.0,3,3663,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,1,0
2023/9/11 (Monday) 15:7:19,999,255,10,LED ON,255,0.0,6,6781,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,8,17,11,41,0
2023/9/11 (Monday) 15:7:22,999,255,10,LED ON,255,0.0,9,9904,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,8,17,11,42,0
2023/9/11 (Monday) 15:7:25,999,255,10,LED ON,255,0.0,13,13024,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,7,19,9,41,0
2023/9/11 (Monday) 15:7:29,999,255,10,LED ON,255,0.0,16,16142,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,5,17,12,42,0
2023/9/11 (Monday) 15:7:32,999,255,10,LED ON,255,0.0,19,19264,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,9,16,11,38,0
2023/9/11 (Monday) 15:7:35,999,255,10,LED ON,255,0.0,22,22382,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,9,17,10,41,0
2023/9/11 (Monday) 15:7:38,999,255,10,LED ON,255,0.0,25,25501,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,9,17,7,39,0
2023/9/11 (Monday) 15:7:41,999,255,10,LED ON,255,0.0,28,28623,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,9,18,11,44,0
2023/9/11 (Monday) 15:7:44,999,255,10,LED ON,255,0.0,31,31741,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,8,17,12,42,0
2023/9/11 (Monday) 15:7:47,999,255,10,LED ON,255,0.0,34,34857,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,8,18,10,41,0
2023/9/11 (Monday) 15:7:50,999,255,10,LED ON,255,0.0,37,37974,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,6,17,9,43,0
2023/9/11 (Monday) 15:7:53,999,255,10,LED ON,255,0.0,41,41096,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,7,18,9,42,0
2023/9/11 (Monday) 15:7:57,999,255,10,LED ON,255,0.0,44,44212,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,7,18,11,40,0
2023/9/11 (Monday) 15:8:0,999,255,10,LED ON,255,0.0,47,47324,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,11,19,9,38,0
2023/9/11 (Monday) 15:8:3,999,255,10,LED ON,255,0.0,50,50442,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,8,16,10,39,0
2023/9/11 (Monday) 15:8:6,999,255,10,LED ON,255,0.0,53,53555,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,5,17,11,40,0
2023/9/11 (Monday) 15:8:9,999,255,10,LED ON,255,0.0,56,56670,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,8,18,9,44,0
2023/9/11 (Monday) 15:8:12,999,255,10,LED ON,255,0.0,59,59785,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,8,17,12,42,0
Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/9/11 (Monday) 15:9:51,999,255,10,LED ON,255,0.25,3,3416,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,2,0
2023/9/11 (Monday) 15:9:54,999,255,10,LED ON,255,0.25,6,6534,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,14,24,16,50,0
2023/9/11 (Monday) 15:9:57,999,255,10,LED ON,255,0.25,9,9656,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,13,26,16,53,0
2023/9/11 (Monday) 15:10:0,999,255,10,LED ON,255,0.25,12,12774,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,15,26,16,50,0
2023/9/11 (Monday) 15:10:3,999,255,10,LED ON,255,0.25,15,15892,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,13,23,16,50,0
2023/9/11 (Monday) 15:10:6,999,255,10,LED ON,255,0.25,19,19012,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,13,26,16,52,0
2023/9/11 (Monday) 15:10:10,999,255,10,LED ON,255,0.25,22,22129,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,13,26,15,50,0
2023/9/11 (Monday) 15:10:13,999,255,10,LED ON,255,0.25,25,25246,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,15,27,16,53,0
2023/9/11 (Monday) 15:10:16,999,255,10,LED ON,255,0.25,28,28368,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,13,26,16,54,0
2023/9/11 (Monday) 15:10:19,999,255,10,LED ON,255,0.25,31,31483,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,14,24,14,52,0
2023/9/11 (Monday) 15:10:22,999,255,10,LED ON,255,0.25,34,34597,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,14,23,15,51,0
2023/9/11 (Monday) 15:10:25,999,255,10,LED ON,255,0.25,37,37712,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,1,13,27,17,51,0
2023/9/11 (Monday) 15:10:28,999,255,10,LED ON,255,0.25,40,40827,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,14,26,17,52,0
