Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/8/19 (Saturday) 13:35:58,599,59,8,LED ON,255,0,0,962,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/19 (Saturday) 13:35:58,599,59,8,LED ON,255,0,1,1626,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:35:59,599,59,8,LED ON,255,0,2,2305,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:0,599,59,8,LED ON,255,0,2,2973,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:0,599,59,8,LED ON,255,0,3,3642,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:1,599,59,8,LED ON,255,0,4,4309,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:2,599,59,8,LED ON,255,0,4,4980,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:2,599,59,8,LED ON,255,0,5,5649,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:3,599,59,8,LED ON,255,0,6,6317,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:4,599,59,8,LED ON,255,0,6,6981,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:4,599,59,8,LED ON,255,0,7,7644,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:5,599,59,8,LED ON,255,0,8,8308,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:6,599,59,8,LED ON,255,0,8,8971,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:6,599,59,8,LED ON,255,0,9,9635,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:7,599,59,8,LED ON,255,0,10,10297,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:8,599,59,8,LED ON,255,0,10,10957,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:8,599,59,8,LED ON,255,0,11,11624,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:9,599,59,8,LED ON,255,0,12,12289,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:10,599,59,8,LED ON,255,0,12,12950,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:10,599,59,8,LED ON,255,0,13,13616,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,1,1,2,0
2023/8/19 (Saturday) 13:36:11,599,59,8,LED ON,255,0,14,14278,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:12,599,59,8,LED ON,255,0,14,14939,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:12,599,59,8,LED ON,255,0,15,15603,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:13,599,59,8,LED ON,255,0,16,16264,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:14,599,59,8,LED ON,255,0,16,16929,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:14,599,59,8,LED ON,255,0,17,17597,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:15,599,59,8,LED ON,255,0,18,18262,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:16,599,59,8,LED ON,255,0,18,18921,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:16,599,59,8,LED ON,255,0,19,19586,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:17,599,59,8,LED ON,255,0,20,20291,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:18,599,59,8,LED ON,255,0,20,20952,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:18,599,59,8,LED ON,255,0,21,21614,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:19,599,59,8,LED ON,255,0,22,22279,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:20,599,59,8,LED ON,255,0,22,22941,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:20,599,59,8,LED ON,255,0,23,23602,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:21,599,59,8,LED ON,255,0,24,24266,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:22,599,59,8,LED ON,255,0,24,24932,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,1,1,2,0
2023/8/19 (Saturday) 13:36:22,599,59,8,LED ON,255,0,25,25593,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:23,599,59,8,LED ON,255,0,26,26257,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:24,599,59,8,LED ON,255,0,26,26917,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
2023/8/19 (Saturday) 13:36:24,599,59,8,LED ON,255,0,27,27582,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:25,599,59,8,LED ON,255,0,28,28250,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,3,0
2023/8/19 (Saturday) 13:36:26,599,59,8,LED ON,255,0,28,28913,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,1,1,1,2,0
