Date and Time,ASTEP,ATIME,GAIN,LED Status,LED Intensity,Test,Milliseconds,Seconds,Type,F1 (Basic),F2 (Basic),F3 (Basic),F4 (Basic),F5 (Basic),F6 (Basic),F7 (Basic),F8 (Basic),Clear (Basic),NIR (Basic),Type,F1 (Raw),F2 (Raw),F3 (Raw),F4 (Raw),F5 (Raw),F6 (Raw),F7 (Raw),F8 (Raw),Clear (Raw),NIR (Raw)
2023/8/7 (Monday) 14:2:52,599,59,7,LED ON,255,63.5 ug/L,0,973,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,RAW VALUES,0,0,0,0,0,0,0,0,0,0
2023/8/7 (Monday) 14:2:53,599,59,7,LED ON,255,63.5 ug/L,1,1639,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:2:54,599,59,7,LED ON,255,63.5 ug/L,2,2300,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:2:54,599,59,7,LED ON,255,63.5 ug/L,2,2965,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:2:55,599,59,7,LED ON,255,63.5 ug/L,3,3630,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:2:56,599,59,7,LED ON,255,63.5 ug/L,4,4292,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:2:56,599,59,7,LED ON,255,63.5 ug/L,4,4955,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,0,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:2:57,599,59,7,LED ON,255,63.5 ug/L,5,5622,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:2:58,599,59,7,LED ON,255,63.5 ug/L,6,6284,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:2:58,599,59,7,LED ON,255,63.5 ug/L,6,6947,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:2:59,599,59,7,LED ON,255,63.5 ug/L,7,7612,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:2:59,599,59,7,LED ON,255,63.5 ug/L,8,8274,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:3:0,599,59,7,LED ON,255,63.5 ug/L,8,8936,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:3:1,599,59,7,LED ON,255,63.5 ug/L,9,9599,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:1,599,59,7,LED ON,255,63.5 ug/L,10,10260,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:2,599,59,7,LED ON,255,63.5 ug/L,10,10921,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:3,599,59,7,LED ON,255,63.5 ug/L,11,11586,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,0,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:3:3,599,59,7,LED ON,255,63.5 ug/L,12,12249,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:4,599,59,7,LED ON,255,63.5 ug/L,12,12911,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:5,599,59,7,LED ON,255,63.5 ug/L,13,13572,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:3:5,599,59,7,LED ON,255,63.5 ug/L,14,14237,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:6,599,59,7,LED ON,255,63.5 ug/L,14,14899,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:7,599,59,7,LED ON,255,63.5 ug/L,15,15562,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:7,599,59,7,LED ON,255,63.5 ug/L,16,16227,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:8,599,59,7,LED ON,255,63.5 ug/L,16,16888,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:9,599,59,7,LED ON,255,63.5 ug/L,17,17549,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:9,599,59,7,LED ON,255,63.5 ug/L,18,18214,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:3:10,599,59,7,LED ON,255,63.5 ug/L,18,18878,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:3:11,599,59,7,LED ON,255,63.5 ug/L,19,19539,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:11,599,59,7,LED ON,255,63.5 ug/L,20,20203,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:12,599,59,7,LED ON,255,63.5 ug/L,20,20866,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:13,599,59,7,LED ON,255,63.5 ug/L,21,21529,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:13,599,59,7,LED ON,255,63.5 ug/L,22,22194,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:14,599,59,7,LED ON,255,63.5 ug/L,22,22856,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:3:15,599,59,7,LED ON,255,63.5 ug/L,23,23519,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:3:15,599,59,7,LED ON,255,63.5 ug/L,24,24184,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,0,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:16,599,59,7,LED ON,255,63.5 ug/L,24,24846,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:3:17,599,59,7,LED ON,255,63.5 ug/L,25,25510,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:17,599,59,7,LED ON,255,63.5 ug/L,26,26172,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:18,599,59,7,LED ON,255,63.5 ug/L,26,26838,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:19,599,59,7,LED ON,255,63.5 ug/L,27,27499,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:19,599,59,7,LED ON,255,63.5 ug/L,28,28163,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:20,599,59,7,LED ON,255,63.5 ug/L,28,28825,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:21,599,59,7,LED ON,255,63.5 ug/L,29,29491,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:21,599,59,7,LED ON,255,63.5 ug/L,30,30157,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:3:22,599,59,7,LED ON,255,63.5 ug/L,30,30821,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
2023/8/7 (Monday) 14:3:23,599,59,7,LED ON,255,63.5 ug/L,31,31482,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,2
2023/8/7 (Monday) 14:3:23,599,59,7,LED ON,255,63.5 ug/L,32,32143,BASIC COUNTS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,RAW VALUES,0,0,1,0,4,27,28,11,39,3
