Time,Seconds, Milliseconds,IR,Full,Visible,Lux,LED Status,LED Intensity,Test
2023/7/30 (Sunday) 12:59:32,1,1550,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,1,1852,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,2,2155,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,2,2457,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,2,2759,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,3,3062,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,3,3364,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,3,3667,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,3,3971,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,4,4274,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,4,4577,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,4,4880,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,5,5182,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,5,5490,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,5,5939,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,6,6242,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,6,6546,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,6,6848,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,7,7150,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:32,7,7452,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,7,7856,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,8,8158,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,8,8461,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,8,8763,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,9,9067,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,9,9369,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,9,9672,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,9,9974,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,10,10277,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,10,10580,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,10,10882,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,11,11185,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,11,11487,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,11,11789,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,12,12091,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,12,12394,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,12,12696,0,1,1,0.16,LED OFF,0,Cuvette Dark
2023/7/30 (Sunday) 12:59:38,12,12998,0,1,1,0.16,LED OFF,0,Cuvette Dark
Time,Seconds, Milliseconds,IR,Full,Visible,Lux,LED Status,LED Intensity,Test
2023/7/30 (Sunday) 12:59:52,1,1265,2,26,24,3.62,LED ON,255,Cuvette Light
2023/7/30 (Sunday) 12:59:52,1,1567,2,26,24,3.62,LED ON,255,Cuvette Light
2023/7/30 (Sunday) 12:59:52,1,1869,3,26,23,3.32,LED ON,255,Cuvette Light
2023/7/30 (Sunday) 12:59:52,2,2172,3,26,23,3.32,LED ON,255,Cuvette Light
